2020-11-03 17:19:30,343 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:30,362 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:30,369 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:30,369 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:30,401 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:30,408 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:30,412 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:30,413 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:30,419 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:30,423 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:30,427 p=1 u=root n=ansible | TASK [assemble_config : check if directory is present] ***************************************************************************************************************************************
2020-11-03 17:19:30,428 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:30 +0000 (0:00:00.495)       0:00:11.564 ****** 
2020-11-03 17:19:30,598 p=1 u=root n=ansible | ok: [core-sw1]
2020-11-03 17:19:30,603 p=1 u=root n=ansible | TASK [assemble_config : assemble configurations to temp completed folder] ********************************************************************************************************************
2020-11-03 17:19:30,603 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:30 +0000 (0:00:00.175)       0:00:11.739 ****** 
2020-11-03 17:19:30,951 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:30,960 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:30,961 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:30,962 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:30,964 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:30,964 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:30,966 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:30,966 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:30,970 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:30,971 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:30,975 p=1 u=root n=ansible | TASK [assemble_config : Remove blank lines between matches] **********************************************************************************************************************************
2020-11-03 17:19:30,975 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:30 +0000 (0:00:00.372)       0:00:12.111 ****** 
2020-11-03 17:19:31,328 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:31,330 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:31,333 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:31,334 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:31,336 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:31,337 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:31,342 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:31,344 p=1 u=root n=ansible | changed: [dist-sw3]
